iter	Passed	Remaining
404	7606	29957
405	7626	29942
406	7647	29932
407	7664	29905
408	7682	29884
409	7702	29871
410	7719	29846
411	7739	29831
412	7760	29819
413	7783	29816
414	7804	29807
415	7824	29794
416	7844	29778
417	7863	29762
418	7884	29748
419	7904	29735
420	7924	29722
421	7945	29711
422	7964	29691
423	7981	29666
424	8000	29648
425	8020	29632
426	8039	29616
427	8057	29594
428	8076	29575
429	8096	29561
430	8117	29552
431	8138	29538
432	8156	29517
433	8176	29502
434	8192	29474
435	8212	29459
436	8233	29447
437	8252	29430
438	8273	29417
439	8290	29393
440	8309	29376
441	8330	29365
442	8347	29340
443	8366	29320
444	8387	29307
445	8404	29282
446	8424	29269
447	8445	29256
448	8465	29242
449	8486	29232
450	8509	29226
451	8530	29213
452	8551	29203
453	8573	29194
454	8595	29186
455	8618	29183
456	8639	29169
457	8655	29142
458	8678	29134
459	8698	29121
460	8718	29105
461	8737	29088
462	8759	29078
463	8777	29057
464	8796	29036
465	8813	29011
466	8832	28992
467	8851	28974
468	8871	28961
469	8892	28948
470	8910	28925
471	8931	28913
472	8952	28902
473	8973	28889
474	8993	28875
475	9012	28855
476	9033	28842
477	9052	28824
478	9072	28809
479	9092	28792
480	9113	28781
481	9134	28767
482	9154	28751
483	9174	28736
484	9194	28722
485	9218	28717
486	9237	28700
487	9255	28676
488	9274	28658
489	9292	28635
490	9312	28619
491	9332	28604
492	9351	28586
493	9371	28570
494	9391	28554
495	9407	28526
496	9428	28513
497	9448	28497
498	9468	28482
499	9490	28472
500	9511	28459
501	9532	28445
502	9550	28424
503	9570	28408
504	9591	28393
505	9611	28377
506	9632	28364
507	9651	28346
508	9672	28333
509	9692	28317
510	9713	28302
511	9733	28286
512	9753	28270
513	9772	28251
514	9790	28230
515	9811	28217
516	9831	28202
517	9851	28184
518	9868	28160
519	9888	28143
520	9910	28132
521	9929	28115
522	9950	28102
523	9969	28081
524	9990	28067
525	10011	28054
526	10028	28031
527	10047	28011
528	10066	27992
529	10088	27981
530	10108	27966
531	10129	27951
532	10149	27934
533	10169	27919
534	10190	27904
535	10207	27880
536	10229	27868
537	10249	27853
538	10269	27836
539	10288	27818
540	10309	27804
541	10328	27784
542	10349	27769
543	10370	27755
544	10389	27736
545	10410	27722
546	10429	27703
547	10448	27685
548	10469	27670
549	10490	27655
550	10510	27640
551	10531	27627
552	10553	27614
553	10572	27594
554	10592	27579
555	10613	27564
556	10633	27547
557	10652	27529
558	10672	27510
559	10691	27493
560	10711	27475
561	10732	27461
562	10753	27446
563	10774	27432
564	10796	27420
565	10815	27401
566	10835	27384
567	10855	27367
568	10875	27351
569	10895	27334
570	10915	27316
571	10936	27301
572	10956	27286
573	10974	27263
574	10991	27240
575	11011	27221
576	11033	27211
577	11052	27191
578	11072	27174
579	11091	27156
580	11111	27137
581	11131	27121
582	11151	27103
583	11171	27088
